ensemble_dir,ensemble_name,test_outputs_file,noise_type,noise_probability,train_size,feature_dim,img_h,img_w,loss_name,activation,depth,width,configured_num_models,configured_num_noise_datasets,configured_num_inits_per_noise_dataset,used_num_models,used_num_noise_datasets,used_init_count_min,used_init_count_max,used_flat_model_rows_per_test,test_index,true_label,class_id,nested_mean,nested_std,nested_std_sample,nested_std_population,nested_sem,flat_model_mean,flat_model_std_population,rows_read,rows_used
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,0,7,0,0.10890563897215765,0.07728538029842776,0.07728538029842776,0.07689798246894308,0.007728538029842776,0.10890563897215762,0.2795208709863004,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,0,7,1,0.07140992914573294,0.08648423671322432,0.08648423671322432,0.08605072903741331,0.008648423671322432,0.0714099291457329,0.2926577575269719,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,0,7,2,0.07784145542571783,0.0820254762379456,0.0820254762379456,0.08161431837944344,0.008202547623794559,0.07784145542571787,0.28172667420506003,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,0,7,3,0.1127320846113551,0.0829401354254566,0.0829401354254566,0.08252439278025105,0.00829401354254566,0.11273208461135509,0.2970318168661393,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,0,7,4,0.09545430739150611,0.08185812435725053,0.08185812435725053,0.08144780536057568,0.008185812435725052,0.09545430739150615,0.29444035501484345,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,0,7,5,0.08826113041939677,0.08475173524557499,0.08475173524557499,0.08432691184233344,0.008475173524557499,0.0882611304193968,0.28835437413529175,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,0,7,6,0.085519642967236,0.08449846715661301,0.08449846715661301,0.08407491327559628,0.008449846715661301,0.08551964296723599,0.2947676365977794,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,0,7,7,0.17762652611974628,0.08016424853472945,0.08016424853472945,0.07976242019714858,0.008016424853472945,0.17762652611974628,0.2946066719530061,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,0,7,8,0.09613088649378625,0.08040508303961244,0.08040508303961244,0.08000204750392895,0.008040508303961243,0.09613088649378623,0.2874129387316182,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,0,7,9,0.12570575571530498,0.0834917764294275,0.0834917764294275,0.08307326864899496,0.00834917764294275,0.12570575571530498,0.28882825651466965,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,1,2,0,0.07570076847188173,0.07887818492221374,0.07887818492221374,0.07848280305937548,0.007887818492221374,0.07570076847188174,0.29040271034909676,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,1,2,1,0.08672366250146876,0.08059940705873533,0.08059940705873533,0.08019539746168428,0.008059940705873533,0.08672366250146879,0.29582344716105075,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,1,2,2,0.12223807663338956,0.08173254932758883,0.08173254932758883,0.081322859783648,0.008173254932758884,0.12223807663338958,0.28098611797320755,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,1,2,3,0.09887946878176297,0.0830840625840074,0.0830840625840074,0.08266759849486753,0.008308406258400739,0.09887946878176299,0.29078550449533414,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,1,2,4,0.043303450687427525,0.07922806649457327,0.07922806649457327,0.07883093082834833,0.007922806649457327,0.04330345068742754,0.2857033656256239,25000000,250000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_trainingSize/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=25__models=2500/test_outputs.csv.gz,additive_gaussian,0.95,100,784,28,28,mse,erf,3,2048,2500,100,25,2500,100,25,25,2500,1,2,5,0.08583291005166246,0.07987961480538937,0.07987961480538937,0.07947921321227838,0.007987961480538937,0.08583291005166248,0.28544990282621013,25000000,250000
