ensemble_dir,ensemble_name,test_outputs_file,noise_type,noise_probability,train_size,feature_dim,img_h,img_w,loss_name,activation,depth,width,configured_num_models,configured_num_noise_datasets,configured_num_inits_per_noise_dataset,used_num_models,used_num_noise_datasets,used_init_count_min,used_init_count_max,used_flat_model_rows_per_test,test_index,true_label,class_id,nested_mean,nested_std,nested_std_sample,nested_std_population,nested_sem,flat_model_mean,flat_model_std_population,rows_read,rows_used
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000/test_outputs.csv.gz,additive_gaussian,0.98,10000,784,28,28,mse,erf,3,2048,1000,100,10,1000,100,10,10,1000,0,7,0,0.10339350265823306,0.08654448981914901,0.08654448981914901,0.08611068012085503,0.008654448981914902,0.10339350265823305,0.1705594290070685,10000000,100000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000/test_outputs.csv.gz,additive_gaussian,0.98,10000,784,28,28,mse,erf,3,2048,1000,100,10,1000,100,10,10,1000,0,7,1,-0.046797022524289786,0.10824460804494734,0.10824460804494734,0.10770202513925277,0.010824460804494734,-0.046797022524289786,0.17965478653533357,10000000,100000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000/test_outputs.csv.gz,additive_gaussian,0.98,10000,784,28,28,mse,erf,3,2048,1000,100,10,1000,100,10,10,1000,0,7,2,0.05053450633399189,0.10998027498813014,0.10998027498813014,0.10942899194272089,0.010998027498813014,0.05053450633399188,0.1850359687623705,10000000,100000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000/test_outputs.csv.gz,additive_gaussian,0.98,10000,784,28,28,mse,erf,3,2048,1000,100,10,1000,100,10,10,1000,0,7,3,0.08529031989490612,0.09956269744225243,0.09956269744225243,0.09906363315948857,0.009956269744225244,0.08529031989490614,0.17312644738348995,10000000,100000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000/test_outputs.csv.gz,additive_gaussian,0.98,10000,784,28,28,mse,erf,3,2048,1000,100,10,1000,100,10,10,1000,0,7,4,0.13610238735843444,0.10367615773671322,0.10367615773671322,0.10315647447551396,0.010367615773671322,0.1361023873584345,0.1750845012349545,10000000,100000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000/test_outputs.csv.gz,additive_gaussian,0.98,10000,784,28,28,mse,erf,3,2048,1000,100,10,1000,100,10,10,1000,0,7,5,0.0805814832923934,0.10004427243091824,0.10004427243091824,0.09954279422323582,0.010004427243091824,0.08058148329239338,0.17782828942567766,10000000,100000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000/test_outputs.csv.gz,additive_gaussian,0.98,10000,784,28,28,mse,erf,3,2048,1000,100,10,1000,100,10,10,1000,0,7,6,0.0320994061366655,0.10297740593363165,0.10297740593363165,0.1024612252097922,0.010297740593363166,0.032099406136665495,0.18031027183905934,10000000,100000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000/test_outputs.csv.gz,additive_gaussian,0.98,10000,784,28,28,mse,erf,3,2048,1000,100,10,1000,100,10,10,1000,0,7,7,0.4382219209298493,0.10853354502503051,0.10853354502503051,0.10798951380455106,0.010853354502503052,0.43822192092984913,0.18746338211852973,10000000,100000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000/test_outputs.csv.gz,additive_gaussian,0.98,10000,784,28,28,mse,erf,3,2048,1000,100,10,1000,100,10,10,1000,0,7,8,0.14934896554797883,0.08396742427237436,0.08396742427237436,0.08354653227721395,0.008396742427237435,0.14934896554797888,0.1725504433936928,10000000,100000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000/test_outputs.csv.gz,additive_gaussian,0.98,10000,784,28,28,mse,erf,3,2048,1000,100,10,1000,100,10,10,1000,0,7,9,0.2835625475291162,0.09712588518313547,0.09712588518313547,0.0966390355750798,0.009712588518313548,0.28356254752911625,0.17920297832470775,10000000,100000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000/test_outputs.csv.gz,additive_gaussian,0.98,10000,784,28,28,mse,erf,3,2048,1000,100,10,1000,100,10,10,1000,1,2,0,0.17574261878523967,0.09473317829468454,0.09473317829468454,0.09425832228039265,0.009473317829468454,0.17574261878523975,0.1703978974607849,10000000,100000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000/test_outputs.csv.gz,additive_gaussian,0.98,10000,784,28,28,mse,erf,3,2048,1000,100,10,1000,100,10,10,1000,1,2,1,0.12054219978209588,0.09326338861013223,0.09326338861013223,0.0927959000090742,0.009326338861013223,0.12054219978209585,0.17667556733351317,10000000,100000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000/test_outputs.csv.gz,additive_gaussian,0.98,10000,784,28,28,mse,erf,3,2048,1000,100,10,1000,100,10,10,1000,1,2,2,0.2287434663884341,0.08957408826899418,0.08957408826899418,0.08912509251792868,0.008957408826899419,0.22874346638843418,0.1678100252829502,10000000,100000
/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/04.2026/NN_noise/trained_mlp_nested_ensembles_featureDim/mlp_ensemble__additive_gaussian__p=0.98__N=10000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000/test_outputs.csv.gz,additive_gaussian,0.98,10000,784,28,28,mse,erf,3,2048,1000,100,10,1000,100,10,10,1000,1,2,3,0.24875762799009682,0.10377497999014845,0.10377497999014845,0.10325480137618857,0.010377497999014846,0.24875762799009682,0.18036586646063418,10000000,100000
