folder,path,N,d_label,d_rows,d_cols,d,p,loss,activation,depth,width,feature_dim,mean_model_accuracy,median_model_accuracy,std_model_accuracy,q25_model_accuracy,q75_model_accuracy,num_noise_datasets_used,num_test_used,mean_models_per_noise_dataset
mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/05.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,100,28x28,28,28,784,0.95,mse,erf,3,2048,784,0.153365,0.15455,0.02398122675848976,0.13827499999999998,0.1663,20,10000,10.0
mlp_ensemble__replacement__p=0.97__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/papers/noisy_networks/05.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__replacement__p=0.97__N=100__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,100,28x28,28,28,784,0.97,mse,erf,3,2048,784,0.14815,0.14550000000000002,0.03310432697769983,0.12725,0.1714,100,10000,10.0
mlp_ensemble__additive_gaussian__p=0.95__N=100__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/05.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,100,43x43,43,43,1849,0.95,mse,erf,3,2048,1849,0.2463450000000001,0.25345,0.049006911166745284,0.208125,0.285775,20,10000,10.0
mlp_ensemble__replacement__p=0.97__N=100__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/papers/noisy_networks/05.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__replacement__p=0.97__N=100__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,100,43x43,43,43,1849,0.97,mse,erf,3,2048,1849,0.256728,0.25505,0.04221633577254907,0.230825,0.28315,100,10000,10.0
mlp_ensemble__additive_gaussian__p=0.95__N=100__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/05.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,100,55x55,55,55,3025,0.95,mse,erf,3,2048,3025,0.27956000000000003,0.28965,0.04211268592466496,0.2549,0.31384999999999996,20,10000,10.0
mlp_ensemble__replacement__p=0.97__N=100__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/papers/noisy_networks/05.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__replacement__p=0.97__N=100__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,100,55x55,55,55,3025,0.97,mse,erf,3,2048,3025,0.301886,0.30305000000000004,0.04630049636490265,0.265225,0.331075,100,10000,10.0
mlp_ensemble__additive_gaussian__p=0.95__N=100__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/05.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__additive_gaussian__p=0.95__N=100__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,100,64x64,64,64,4096,0.95,mse,erf,3,2048,4096,0.30362,0.3012,0.04166546721080585,0.27785000000000004,0.3224,20,10000,10.0
mlp_ensemble__replacement__p=0.97__N=100__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/papers/noisy_networks/05.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__replacement__p=0.97__N=100__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,100,64x64,64,64,4096,0.97,mse,erf,3,2048,4096,0.323362,0.3214,0.04829163463538562,0.2874,0.3562,100,10000,10.0
mlp_ensemble__additive_gaussian__p=0.95__N=200__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/05.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__additive_gaussian__p=0.95__N=200__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,200,28x28,28,28,784,0.95,mse,erf,3,2048,784,0.23930500000000002,0.24385,0.03891378425780713,0.21857500000000002,0.2574,20,10000,10.0
mlp_ensemble__replacement__p=0.97__N=200__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,/data2/jt577/2026/papers/noisy_networks/05.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__replacement__p=0.97__N=200__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=100__initM=10__models=1000,200,28x28,28,28,784,0.97,mse,erf,3,2048,784,0.325785,0.32335,0.04528020589015189,0.29395,0.35314999999999996,100,10000,10.0
