folder,path,N,d_label,d_rows,d_cols,d,p,loss,activation,depth,width,feature_dim,mean_model_accuracy,median_model_accuracy,std_model_accuracy,q25_model_accuracy,q75_model_accuracy,num_noise_datasets_used,num_test_used,mean_models_per_noise_dataset
mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,1000,28x28,28,28,784,0.97,mse,erf,3,2048,784,0.33881,0.33895,0.03799681288573667,0.307175,0.36415000000000003,20,10000,10.0
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,1000,28x28,28,28,784,0.97,mse,erf,3,2048,784,0.2973100000000001,0.2913,0.049558300595306304,0.269275,0.336325,20,10000,10.0
mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,1000,43x43,43,43,1849,0.97,mse,erf,3,2048,1849,0.4699000000000001,0.48215,0.037378659827852524,0.4475,0.491775,20,10000,10.0
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,1000,43x43,43,43,1849,0.97,mse,erf,3,2048,1849,0.44775,0.45799999999999996,0.04632361566653722,0.42164999999999997,0.48655,20,10000,10.0
mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,1000,55x55,55,55,3025,0.97,mse,erf,3,2048,3025,0.511185,0.51,0.03969503846763937,0.48567499999999997,0.53425,20,10000,10.0
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,1000,55x55,55,55,3025,0.97,mse,erf,3,2048,3025,0.501025,0.4908,0.0356823393586416,0.473375,0.536125,20,10000,10.0
mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=1000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,1000,64x64,64,64,4096,0.97,mse,erf,3,2048,4096,0.513915,0.51175,0.04422291945657996,0.491475,0.5374,20,10000,10.0
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=1000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,1000,64x64,64,64,4096,0.97,mse,erf,3,2048,4096,0.5158099999999999,0.5127999999999999,0.02991211513047761,0.491475,0.5441,20,10000,10.0
mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=2000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=2000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,2000,28x28,28,28,784,0.97,mse,erf,3,2048,784,0.44845999999999997,0.4439,0.0465307640169383,0.4317,0.48295,20,10000,10.0
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=2000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=2000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,2000,28x28,28,28,784,0.97,mse,erf,3,2048,784,0.430215,0.42745,0.043035154234648675,0.39935,0.46435,20,10000,10.0
mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=2000__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=2000__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,2000,43x43,43,43,1849,0.97,mse,erf,3,2048,1849,0.55995,0.56765,0.04751662866828834,0.5222749999999999,0.5861999999999999,20,10000,10.0
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=2000__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=2000__d=43x43__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,2000,43x43,43,43,1849,0.97,mse,erf,3,2048,1849,0.585495,0.5763,0.0352223684161373,0.5668,0.609875,20,10000,10.0
mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=2000__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=2000__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,2000,55x55,55,55,3025,0.97,mse,erf,3,2048,3025,0.6377949999999999,0.64015,0.027518462223712552,0.622825,0.65065,20,10000,10.0
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=2000__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=2000__d=55x55__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,2000,55x55,55,55,3025,0.97,mse,erf,3,2048,3025,0.623825,0.6226499999999999,0.03714795276642904,0.608025,0.6503000000000001,20,10000,10.0
mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=2000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=2000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,2000,64x64,64,64,4096,0.97,mse,erf,3,2048,4096,0.66448,0.6662,0.022752179768332666,0.65625,0.675925,20,10000,10.0
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=2000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=2000__d=64x64__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,2000,64x64,64,64,4096,0.97,mse,erf,3,2048,4096,0.6562399999999999,0.6535,0.03467007506861152,0.636,0.674425,20,10000,10.0
mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=3000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__additive_gaussian__p=0.97__N=3000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,3000,28x28,28,28,784,0.97,mse,erf,3,2048,784,0.518715,0.5274,0.0313084363105302,0.495575,0.5393,20,10000,10.0
mlp_ensemble__dataset=mnist__replacement__p=0.97__N=3000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,/data2/jt577/2026/papers/noisy_networks/06.2026/fig3/trained_mlp_nested_ensembles/mlp_ensemble__dataset=mnist__replacement__p=0.97__N=3000__d=28x28__loss=mse__act=erf__L=3__width=2048__noiseK=20__initM=10__models=200,3000,28x28,28,28,784,0.97,mse,erf,3,2048,784,0.50865,0.5082,0.030285805255928062,0.493275,0.523775,20,10000,10.0
